Question,Intent,Answer
do meteor shower,Meteoroid_Info,"Meteor showers occur when Earth passes through debris left by comets, causing many meteors to burn up in the atmosphere"
get meteor shower,Meteoroid_Info,"Meteor showers occur when Earth passes through debris left by comets, causing many meteors to burn up in the atmosphere"
grounds meteor shower,Meteoroid_Info,"Meteor showers occur when Earth passes through debris left by comets, causing many meteors to burn up in the atmosphere"
make meteor shower,Meteoroid_Info,"Meteor showers occur when Earth passes through debris left by comets, causing many meteors to burn up in the atmosphere"
drive meteor shower,Meteoroid_Info,"Meteor showers occur when Earth passes through debris left by comets, causing many meteors to burn up in the atmosphere"
causal agency meteor shower,Meteoroid_Info,"Meteor showers occur when Earth passes through debris left by comets, causing many meteors to burn up in the atmosphere"
induce meteor shower,Meteoroid_Info,"Meteor showers occur when Earth passes through debris left by comets, causing many meteors to burn up in the atmosphere"
have meteor shower,Meteoroid_Info,"Meteor showers occur when Earth passes through debris left by comets, causing many meteors to burn up in the atmosphere"
lawsuit meteor shower,Meteoroid_Info,"Meteor showers occur when Earth passes through debris left by comets, causing many meteors to burn up in the atmosphere"
reason meteor shower,Meteoroid_Info,"Meteor showers occur when Earth passes through debris left by comets, causing many meteors to burn up in the atmosphere"
stimulate meteor shower,Meteoroid_Info,"Meteor showers occur when Earth passes through debris left by comets, causing many meteors to burn up in the atmosphere"
causa meteor shower,Meteoroid_Info,"Meteor showers occur when Earth passes through debris left by comets, causing many meteors to burn up in the atmosphere"
suit meteor shower,Meteoroid_Info,"Meteor showers occur when Earth passes through debris left by comets, causing many meteors to burn up in the atmosphere"
case meteor shower,Meteoroid_Info,"Meteor showers occur when Earth passes through debris left by comets, causing many meteors to burn up in the atmosphere"
causal agent meteor shower,Meteoroid_Info,"Meteor showers occur when Earth passes through debris left by comets, causing many meteors to burn up in the atmosphere"
effort meteor shower,Meteoroid_Info,"Meteor showers occur when Earth passes through debris left by comets, causing many meteors to burn up in the atmosphere"
cause shooting star shower,Meteoroid_Info,"Meteor showers occur when Earth passes through debris left by comets, causing many meteors to burn up in the atmosphere"
cause meteoroid shower,Meteoroid_Info,"Meteor showers occur when Earth passes through debris left by comets, causing many meteors to burn up in the atmosphere"
cause meteor lavish,Meteoroid_Info,"Meteor showers occur when Earth passes through debris left by comets, causing many meteors to burn up in the atmosphere"
cause meteor shower bath,Meteoroid_Info,"Meteor showers occur when Earth passes through debris left by comets, causing many meteors to burn up in the atmosphere"
cause meteor shower down,Meteoroid_Info,"Meteor showers occur when Earth passes through debris left by comets, causing many meteors to burn up in the atmosphere"
cause meteor rain shower,Meteoroid_Info,"Meteor showers occur when Earth passes through debris left by comets, causing many meteors to burn up in the atmosphere"
cause meteor cascade,Meteoroid_Info,"Meteor showers occur when Earth passes through debris left by comets, causing many meteors to burn up in the atmosphere"
cause meteor exhibitor,Meteoroid_Info,"Meteor showers occur when Earth passes through debris left by comets, causing many meteors to burn up in the atmosphere"
cause meteor exhibitioner,Meteoroid_Info,"Meteor showers occur when Earth passes through debris left by comets, causing many meteors to burn up in the atmosphere"
solar eclipse,Special_Events,"A solar eclipse occurs when the Moon passes between the Earth and the Sun, blocking the Sun's light either partially or fully"
solar overshadow,Special_Events,"A solar eclipse occurs when the Moon passes between the Earth and the Sun, blocking the Sun's light either partially or fully"
solar dominate,Special_Events,"A solar eclipse occurs when the Moon passes between the Earth and the Sun, blocking the Sun's light either partially or fully"
solar occult,Special_Events,"A solar eclipse occurs when the Moon passes between the Earth and the Sun, blocking the Sun's light either partially or fully"
solar occultation,Special_Events,"A solar eclipse occurs when the Moon passes between the Earth and the Sun, blocking the Sun's light either partially or fully"
often solar eclipse happen,Special_Events,"On average, a solar eclipse happens somewhere on Earth about every 18 months"
frequently solar eclipse happen,Special_Events,"On average, a solar eclipse happens somewhere on Earth about every 18 months"
much solar eclipse happen,Special_Events,"On average, a solar eclipse happens somewhere on Earth about every 18 months"
oft solar eclipse happen,Special_Events,"On average, a solar eclipse happens somewhere on Earth about every 18 months"
ofttimes solar eclipse happen,Special_Events,"On average, a solar eclipse happens somewhere on Earth about every 18 months"
a great deal solar eclipse happen,Special_Events,"On average, a solar eclipse happens somewhere on Earth about every 18 months"
oftentimes solar eclipse happen,Special_Events,"On average, a solar eclipse happens somewhere on Earth about every 18 months"
often solar occult happen,Special_Events,"On average, a solar eclipse happens somewhere on Earth about every 18 months"
often solar occultation happen,Special_Events,"On average, a solar eclipse happens somewhere on Earth about every 18 months"
often solar dominate happen,Special_Events,"On average, a solar eclipse happens somewhere on Earth about every 18 months"
often solar overshadow happen,Special_Events,"On average, a solar eclipse happens somewhere on Earth about every 18 months"
often solar eclipse bump,Special_Events,"On average, a solar eclipse happens somewhere on Earth about every 18 months"
often solar eclipse bechance,Special_Events,"On average, a solar eclipse happens somewhere on Earth about every 18 months"
often solar eclipse find,Special_Events,"On average, a solar eclipse happens somewhere on Earth about every 18 months"
often solar eclipse materialise,Special_Events,"On average, a solar eclipse happens somewhere on Earth about every 18 months"
often solar eclipse hap,Special_Events,"On average, a solar eclipse happens somewhere on Earth about every 18 months"
often solar eclipse go on,Special_Events,"On average, a solar eclipse happens somewhere on Earth about every 18 months"
often solar eclipse pass,Special_Events,"On average, a solar eclipse happens somewhere on Earth about every 18 months"
often solar eclipse fall out,Special_Events,"On average, a solar eclipse happens somewhere on Earth about every 18 months"
often solar eclipse chance,Special_Events,"On average, a solar eclipse happens somewhere on Earth about every 18 months"
often solar eclipse take place,Special_Events,"On average, a solar eclipse happens somewhere on Earth about every 18 months"
often solar eclipse befall,Special_Events,"On average, a solar eclipse happens somewhere on Earth about every 18 months"
often solar eclipse occur,Special_Events,"On average, a solar eclipse happens somewhere on Earth about every 18 months"
often solar eclipse encounter,Special_Events,"On average, a solar eclipse happens somewhere on Earth about every 18 months"
often solar eclipse come about,Special_Events,"On average, a solar eclipse happens somewhere on Earth about every 18 months"
often solar eclipse materialize,Special_Events,"On average, a solar eclipse happens somewhere on Earth about every 18 months"
often solar eclipse pass off,Special_Events,"On average, a solar eclipse happens somewhere on Earth about every 18 months"
lunar eclipse,Special_Events,"A lunar eclipse occurs when the Earth passes between the Sun and the Moon, causing the Earth's shadow to cover the Moon"
lunar dominate,Special_Events,"A lunar eclipse occurs when the Earth passes between the Sun and the Moon, causing the Earth's shadow to cover the Moon"
lunar overshadow,Special_Events,"A lunar eclipse occurs when the Earth passes between the Sun and the Moon, causing the Earth's shadow to cover the Moon"
lunar occult,Special_Events,"A lunar eclipse occurs when the Earth passes between the Sun and the Moon, causing the Earth's shadow to cover the Moon"
lunar occultation,Special_Events,"A lunar eclipse occurs when the Earth passes between the Sun and the Moon, causing the Earth's shadow to cover the Moon"
supermoon,Special_Events,A supermoon occurs when a full moon coincides with the Moon being at its closest point to Earth in its orbit
planetary alignment,Special_Events,A planetary alignment occurs when several planets appear to line up in the sky from Earth's perspective
worldwide alignment,Special_Events,A planetary alignment occurs when several planets appear to line up in the sky from Earth's perspective
world alignment,Special_Events,A planetary alignment occurs when several planets appear to line up in the sky from Earth's perspective
global alignment,Special_Events,A planetary alignment occurs when several planets appear to line up in the sky from Earth's perspective
planetal alignment,Special_Events,A planetary alignment occurs when several planets appear to line up in the sky from Earth's perspective
erratic alignment,Special_Events,A planetary alignment occurs when several planets appear to line up in the sky from Earth's perspective
world-wide alignment,Special_Events,A planetary alignment occurs when several planets appear to line up in the sky from Earth's perspective
wandering alignment,Special_Events,A planetary alignment occurs when several planets appear to line up in the sky from Earth's perspective
terrestrial alignment,Special_Events,A planetary alignment occurs when several planets appear to line up in the sky from Earth's perspective
planetary conjunction,Special_Events,A planetary alignment occurs when several planets appear to line up in the sky from Earth's perspective
planetary coalition,Special_Events,A planetary alignment occurs when several planets appear to line up in the sky from Earth's perspective
planetary alliance,Special_Events,A planetary alignment occurs when several planets appear to line up in the sky from Earth's perspective
planetary alinement,Special_Events,A planetary alignment occurs when several planets appear to line up in the sky from Earth's perspective
often planetary alignment occur,Special_Events,"Large planetary alignments, where many planets are visible at once, are rare and can occur every few decades"
oft planetary alignment occur,Special_Events,"Large planetary alignments, where many planets are visible at once, are rare and can occur every few decades"
much planetary alignment occur,Special_Events,"Large planetary alignments, where many planets are visible at once, are rare and can occur every few decades"
a great deal planetary alignment occur,Special_Events,"Large planetary alignments, where many planets are visible at once, are rare and can occur every few decades"
ofttimes planetary alignment occur,Special_Events,"Large planetary alignments, where many planets are visible at once, are rare and can occur every few decades"
frequently planetary alignment occur,Special_Events,"Large planetary alignments, where many planets are visible at once, are rare and can occur every few decades"
oftentimes planetary alignment occur,Special_Events,"Large planetary alignments, where many planets are visible at once, are rare and can occur every few decades"
often planetal alignment occur,Special_Events,"Large planetary alignments, where many planets are visible at once, are rare and can occur every few decades"
often world alignment occur,Special_Events,"Large planetary alignments, where many planets are visible at once, are rare and can occur every few decades"
often worldwide alignment occur,Special_Events,"Large planetary alignments, where many planets are visible at once, are rare and can occur every few decades"
often erratic alignment occur,Special_Events,"Large planetary alignments, where many planets are visible at once, are rare and can occur every few decades"
often world-wide alignment occur,Special_Events,"Large planetary alignments, where many planets are visible at once, are rare and can occur every few decades"
often wandering alignment occur,Special_Events,"Large planetary alignments, where many planets are visible at once, are rare and can occur every few decades"
often terrestrial alignment occur,Special_Events,"Large planetary alignments, where many planets are visible at once, are rare and can occur every few decades"
often global alignment occur,Special_Events,"Large planetary alignments, where many planets are visible at once, are rare and can occur every few decades"
often planetary alinement occur,Special_Events,"Large planetary alignments, where many planets are visible at once, are rare and can occur every few decades"
often planetary coalition occur,Special_Events,"Large planetary alignments, where many planets are visible at once, are rare and can occur every few decades"
often planetary alliance occur,Special_Events,"Large planetary alignments, where many planets are visible at once, are rare and can occur every few decades"
often planetary conjunction occur,Special_Events,"Large planetary alignments, where many planets are visible at once, are rare and can occur every few decades"
often planetary alignment pass off,Special_Events,"Large planetary alignments, where many planets are visible at once, are rare and can occur every few decades"
often planetary alignment hap,Special_Events,"Large planetary alignments, where many planets are visible at once, are rare and can occur every few decades"
often planetary alignment come about,Special_Events,"Large planetary alignments, where many planets are visible at once, are rare and can occur every few decades"
often planetary alignment happen,Special_Events,"Large planetary alignments, where many planets are visible at once, are rare and can occur every few decades"
often planetary alignment fall out,Special_Events,"Large planetary alignments, where many planets are visible at once, are rare and can occur every few decades"
often planetary alignment come,Special_Events,"Large planetary alignments, where many planets are visible at once, are rare and can occur every few decades"
often planetary alignment pass,Special_Events,"Large planetary alignments, where many planets are visible at once, are rare and can occur every few decades"
often planetary alignment take place,Special_Events,"Large planetary alignments, where many planets are visible at once, are rare and can occur every few decades"
often planetary alignment go on,Special_Events,"Large planetary alignments, where many planets are visible at once, are rare and can occur every few decades"
meteor shower,Special_Events,"A meteor shower happens when Earth passes through the debris left by a comet, causing many meteors to be visible in the sky"
shooting star shower,Special_Events,"A meteor shower happens when Earth passes through the debris left by a comet, causing many meteors to be visible in the sky"
meteoroid shower,Special_Events,"A meteor shower happens when Earth passes through the debris left by a comet, causing many meteors to be visible in the sky"
meteor exhibitioner,Special_Events,"A meteor shower happens when Earth passes through the debris left by a comet, causing many meteors to be visible in the sky"
meteor cascade,Special_Events,"A meteor shower happens when Earth passes through the debris left by a comet, causing many meteors to be visible in the sky"
meteor lavish,Special_Events,"A meteor shower happens when Earth passes through the debris left by a comet, causing many meteors to be visible in the sky"
meteor shower down,Special_Events,"A meteor shower happens when Earth passes through the debris left by a comet, causing many meteors to be visible in the sky"
meteor rain shower,Special_Events,"A meteor shower happens when Earth passes through the debris left by a comet, causing many meteors to be visible in the sky"
meteor exhibitor,Special_Events,"A meteor shower happens when Earth passes through the debris left by a comet, causing many meteors to be visible in the sky"
meteor shower bath,Special_Events,"A meteor shower happens when Earth passes through the debris left by a comet, causing many meteors to be visible in the sky"
perseid meteor shower visible,Special_Events,"The Perseid meteor shower is visible every year in August, peaking around the 12th and 13th"
perseid shooting star shower visible,Special_Events,"The Perseid meteor shower is visible every year in August, peaking around the 12th and 13th"
perseid meteoroid shower visible,Special_Events,"The Perseid meteor shower is visible every year in August, peaking around the 12th and 13th"
perseid meteor cascade visible,Special_Events,"The Perseid meteor shower is visible every year in August, peaking around the 12th and 13th"
perseid meteor rain shower visible,Special_Events,"The Perseid meteor shower is visible every year in August, peaking around the 12th and 13th"
perseid meteor shower bath visible,Special_Events,"The Perseid meteor shower is visible every year in August, peaking around the 12th and 13th"
perseid meteor exhibitioner visible,Special_Events,"The Perseid meteor shower is visible every year in August, peaking around the 12th and 13th"
perseid meteor exhibitor visible,Special_Events,"The Perseid meteor shower is visible every year in August, peaking around the 12th and 13th"
perseid meteor shower down visible,Special_Events,"The Perseid meteor shower is visible every year in August, peaking around the 12th and 13th"
perseid meteor lavish visible,Special_Events,"The Perseid meteor shower is visible every year in August, peaking around the 12th and 13th"
perseid meteor shower seeable,Special_Events,"The Perseid meteor shower is visible every year in August, peaking around the 12th and 13th"
great conjunction,Special_Events,"The Great Conjunction is a rare event when Jupiter and Saturn appear very close to each other in the sky, happening roughly every 20 years"
keen conjunction,Special_Events,"The Great Conjunction is a rare event when Jupiter and Saturn appear very close to each other in the sky, happening roughly every 20 years"
gravid conjunction,Special_Events,"The Great Conjunction is a rare event when Jupiter and Saturn appear very close to each other in the sky, happening roughly every 20 years"
neat conjunction,Special_Events,"The Great Conjunction is a rare event when Jupiter and Saturn appear very close to each other in the sky, happening roughly every 20 years"
swell conjunction,Special_Events,"The Great Conjunction is a rare event when Jupiter and Saturn appear very close to each other in the sky, happening roughly every 20 years"
cracking conjunction,Special_Events,"The Great Conjunction is a rare event when Jupiter and Saturn appear very close to each other in the sky, happening roughly every 20 years"
not bad conjunction,Special_Events,"The Great Conjunction is a rare event when Jupiter and Saturn appear very close to each other in the sky, happening roughly every 20 years"
majuscule conjunction,Special_Events,"The Great Conjunction is a rare event when Jupiter and Saturn appear very close to each other in the sky, happening roughly every 20 years"
heavy conjunction,Special_Events,"The Great Conjunction is a rare event when Jupiter and Saturn appear very close to each other in the sky, happening roughly every 20 years"
peachy conjunction,Special_Events,"The Great Conjunction is a rare event when Jupiter and Saturn appear very close to each other in the sky, happening roughly every 20 years"
big conjunction,Special_Events,"The Great Conjunction is a rare event when Jupiter and Saturn appear very close to each other in the sky, happening roughly every 20 years"
dandy conjunction,Special_Events,"The Great Conjunction is a rare event when Jupiter and Saturn appear very close to each other in the sky, happening roughly every 20 years"
slap-up conjunction,Special_Events,"The Great Conjunction is a rare event when Jupiter and Saturn appear very close to each other in the sky, happening roughly every 20 years"
enceinte conjunction,Special_Events,"The Great Conjunction is a rare event when Jupiter and Saturn appear very close to each other in the sky, happening roughly every 20 years"
capital conjunction,Special_Events,"The Great Conjunction is a rare event when Jupiter and Saturn appear very close to each other in the sky, happening roughly every 20 years"
with child conjunction,Special_Events,"The Great Conjunction is a rare event when Jupiter and Saturn appear very close to each other in the sky, happening roughly every 20 years"
expectant conjunction,Special_Events,"The Great Conjunction is a rare event when Jupiter and Saturn appear very close to each other in the sky, happening roughly every 20 years"
groovy conjunction,Special_Events,"The Great Conjunction is a rare event when Jupiter and Saturn appear very close to each other in the sky, happening roughly every 20 years"
outstanding conjunction,Special_Events,"The Great Conjunction is a rare event when Jupiter and Saturn appear very close to each other in the sky, happening roughly every 20 years"
large conjunction,Special_Events,"The Great Conjunction is a rare event when Jupiter and Saturn appear very close to each other in the sky, happening roughly every 20 years"
bully conjunction,Special_Events,"The Great Conjunction is a rare event when Jupiter and Saturn appear very close to each other in the sky, happening roughly every 20 years"
nifty conjunction,Special_Events,"The Great Conjunction is a rare event when Jupiter and Saturn appear very close to each other in the sky, happening roughly every 20 years"
smashing conjunction,Special_Events,"The Great Conjunction is a rare event when Jupiter and Saturn appear very close to each other in the sky, happening roughly every 20 years"
bang-up conjunction,Special_Events,"The Great Conjunction is a rare event when Jupiter and Saturn appear very close to each other in the sky, happening roughly every 20 years"
corking conjunction,Special_Events,"The Great Conjunction is a rare event when Jupiter and Saturn appear very close to each other in the sky, happening roughly every 20 years"
great co-occurrence,Special_Events,"The Great Conjunction is a rare event when Jupiter and Saturn appear very close to each other in the sky, happening roughly every 20 years"
great colligation,Special_Events,"The Great Conjunction is a rare event when Jupiter and Saturn appear very close to each other in the sky, happening roughly every 20 years"
great conjugation,Special_Events,"The Great Conjunction is a rare event when Jupiter and Saturn appear very close to each other in the sky, happening roughly every 20 years"
great coincidence,Special_Events,"The Great Conjunction is a rare event when Jupiter and Saturn appear very close to each other in the sky, happening roughly every 20 years"
great continuative,Special_Events,"The Great Conjunction is a rare event when Jupiter and Saturn appear very close to each other in the sky, happening roughly every 20 years"
great conjunctive,Special_Events,"The Great Conjunction is a rare event when Jupiter and Saturn appear very close to each other in the sky, happening roughly every 20 years"
great junction,Special_Events,"The Great Conjunction is a rare event when Jupiter and Saturn appear very close to each other in the sky, happening roughly every 20 years"
great connective,Special_Events,"The Great Conjunction is a rare event when Jupiter and Saturn appear very close to each other in the sky, happening roughly every 20 years"
great concurrence,Special_Events,"The Great Conjunction is a rare event when Jupiter and Saturn appear very close to each other in the sky, happening roughly every 20 years"
great alignment,Special_Events,"The Great Conjunction is a rare event when Jupiter and Saturn appear very close to each other in the sky, happening roughly every 20 years"
significance venus transit,Special_Events,"A Venus Transit occurs when Venus passes directly between the Earth and the Sun. It is rare and happens in pairs, about eight years apart, every 243 years"
import venus transit,Special_Events,"A Venus Transit occurs when Venus passes directly between the Earth and the Sun. It is rare and happens in pairs, about eight years apart, every 243 years"
implication venus transit,Special_Events,"A Venus Transit occurs when Venus passes directly between the Earth and the Sun. It is rare and happens in pairs, about eight years apart, every 243 years"
signification venus transit,Special_Events,"A Venus Transit occurs when Venus passes directly between the Earth and the Sun. It is rare and happens in pairs, about eight years apart, every 243 years"
meaning venus transit,Special_Events,"A Venus Transit occurs when Venus passes directly between the Earth and the Sun. It is rare and happens in pairs, about eight years apart, every 243 years"
significance Venus transit,Special_Events,"A Venus Transit occurs when Venus passes directly between the Earth and the Sun. It is rare and happens in pairs, about eight years apart, every 243 years"
significance genus Venus transit,Special_Events,"A Venus Transit occurs when Venus passes directly between the Earth and the Sun. It is rare and happens in pairs, about eight years apart, every 243 years"
significance Urania transit,Special_Events,"A Venus Transit occurs when Venus passes directly between the Earth and the Sun. It is rare and happens in pairs, about eight years apart, every 243 years"
significance venus transportation,Special_Events,"A Venus Transit occurs when Venus passes directly between the Earth and the Sun. It is rare and happens in pairs, about eight years apart, every 243 years"
significance venus pass across,Special_Events,"A Venus Transit occurs when Venus passes directly between the Earth and the Sun. It is rare and happens in pairs, about eight years apart, every 243 years"
significance venus transportation system,Special_Events,"A Venus Transit occurs when Venus passes directly between the Earth and the Sun. It is rare and happens in pairs, about eight years apart, every 243 years"
significance venus move through,Special_Events,"A Venus Transit occurs when Venus passes directly between the Earth and the Sun. It is rare and happens in pairs, about eight years apart, every 243 years"
significance venus passage,Special_Events,"A Venus Transit occurs when Venus passes directly between the Earth and the Sun. It is rare and happens in pairs, about eight years apart, every 243 years"
significance venus pass over,Special_Events,"A Venus Transit occurs when Venus passes directly between the Earth and the Sun. It is rare and happens in pairs, about eight years apart, every 243 years"
significance venus pass through,Special_Events,"A Venus Transit occurs when Venus passes directly between the Earth and the Sun. It is rare and happens in pairs, about eight years apart, every 243 years"
significance venus theodolite,Special_Events,"A Venus Transit occurs when Venus passes directly between the Earth and the Sun. It is rare and happens in pairs, about eight years apart, every 243 years"
cause aurora,Special_Events,"Auroras, also known as the Northern and Southern Lights, are caused by solar wind particles interacting with Earth's magnetic field"
crusade aurora,Special_Events,"Auroras, also known as the Northern and Southern Lights, are caused by solar wind particles interacting with Earth's magnetic field"
effort aurora,Special_Events,"Auroras, also known as the Northern and Southern Lights, are caused by solar wind particles interacting with Earth's magnetic field"
get aurora,Special_Events,"Auroras, also known as the Northern and Southern Lights, are caused by solar wind particles interacting with Earth's magnetic field"
drive aurora,Special_Events,"Auroras, also known as the Northern and Southern Lights, are caused by solar wind particles interacting with Earth's magnetic field"
lawsuit aurora,Special_Events,"Auroras, also known as the Northern and Southern Lights, are caused by solar wind particles interacting with Earth's magnetic field"
stimulate aurora,Special_Events,"Auroras, also known as the Northern and Southern Lights, are caused by solar wind particles interacting with Earth's magnetic field"
causal agent aurora,Special_Events,"Auroras, also known as the Northern and Southern Lights, are caused by solar wind particles interacting with Earth's magnetic field"
movement aurora,Special_Events,"Auroras, also known as the Northern and Southern Lights, are caused by solar wind particles interacting with Earth's magnetic field"
causal agency aurora,Special_Events,"Auroras, also known as the Northern and Southern Lights, are caused by solar wind particles interacting with Earth's magnetic field"
suit aurora,Special_Events,"Auroras, also known as the Northern and Southern Lights, are caused by solar wind particles interacting with Earth's magnetic field"
make aurora,Special_Events,"Auroras, also known as the Northern and Southern Lights, are caused by solar wind particles interacting with Earth's magnetic field"
induce aurora,Special_Events,"Auroras, also known as the Northern and Southern Lights, are caused by solar wind particles interacting with Earth's magnetic field"
have aurora,Special_Events,"Auroras, also known as the Northern and Southern Lights, are caused by solar wind particles interacting with Earth's magnetic field"
causa aurora,Special_Events,"Auroras, also known as the Northern and Southern Lights, are caused by solar wind particles interacting with Earth's magnetic field"
reason aurora,Special_Events,"Auroras, also known as the Northern and Southern Lights, are caused by solar wind particles interacting with Earth's magnetic field"
case aurora,Special_Events,"Auroras, also known as the Northern and Southern Lights, are caused by solar wind particles interacting with Earth's magnetic field"
do aurora,Special_Events,"Auroras, also known as the Northern and Southern Lights, are caused by solar wind particles interacting with Earth's magnetic field"
grounds aurora,Special_Events,"Auroras, also known as the Northern and Southern Lights, are caused by solar wind particles interacting with Earth's magnetic field"
campaign aurora,Special_Events,"Auroras, also known as the Northern and Southern Lights, are caused by solar wind particles interacting with Earth's magnetic field"
cause sunrise,Special_Events,"Auroras, also known as the Northern and Southern Lights, are caused by solar wind particles interacting with Earth's magnetic field"
cause break of the day,Special_Events,"Auroras, also known as the Northern and Southern Lights, are caused by solar wind particles interacting with Earth's magnetic field"
cause dawn,Special_Events,"Auroras, also known as the Northern and Southern Lights, are caused by solar wind particles interacting with Earth's magnetic field"
cause Aurora,Special_Events,"Auroras, also known as the Northern and Southern Lights, are caused by solar wind particles interacting with Earth's magnetic field"
cause break of day,Special_Events,"Auroras, also known as the Northern and Southern Lights, are caused by solar wind particles interacting with Earth's magnetic field"
cause daybreak,Special_Events,"Auroras, also known as the Northern and Southern Lights, are caused by solar wind particles interacting with Earth's magnetic field"
cause cockcrow,Special_Events,"Auroras, also known as the Northern and Southern Lights, are caused by solar wind particles interacting with Earth's magnetic field"
cause morning,Special_Events,"Auroras, also known as the Northern and Southern Lights, are caused by solar wind particles interacting with Earth's magnetic field"
cause dayspring,Special_Events,"Auroras, also known as the Northern and Southern Lights, are caused by solar wind particles interacting with Earth's magnetic field"
cause dawning,Special_Events,"Auroras, also known as the Northern and Southern Lights, are caused by solar wind particles interacting with Earth's magnetic field"
cause sunup,Special_Events,"Auroras, also known as the Northern and Southern Lights, are caused by solar wind particles interacting with Earth's magnetic field"
cause first light,Special_Events,"Auroras, also known as the Northern and Southern Lights, are caused by solar wind particles interacting with Earth's magnetic field"
exoplanet,Exoplanet_Info,An exoplanet is a planet that orbits a star outside our solar system
exoplanets discovered,Exoplanet_Info,Exoplanets are usually discovered using the transit method or radial velocity method
exoplanets describe,Exoplanet_Info,Exoplanets are usually discovered using the transit method or radial velocity method
exoplanets let out,Exoplanet_Info,Exoplanets are usually discovered using the transit method or radial velocity method
exoplanets detect,Exoplanet_Info,Exoplanets are usually discovered using the transit method or radial velocity method
exoplanets unwrap,Exoplanet_Info,Exoplanets are usually discovered using the transit method or radial velocity method
exoplanets learn,Exoplanet_Info,Exoplanets are usually discovered using the transit method or radial velocity method
exoplanets let on,Exoplanet_Info,Exoplanets are usually discovered using the transit method or radial velocity method
exoplanets find,Exoplanet_Info,Exoplanets are usually discovered using the transit method or radial velocity method
exoplanets get word,Exoplanet_Info,Exoplanets are usually discovered using the transit method or radial velocity method
exoplanets hear,Exoplanet_Info,Exoplanets are usually discovered using the transit method or radial velocity method
exoplanets ascertained,Exoplanet_Info,Exoplanets are usually discovered using the transit method or radial velocity method
exoplanets identify,Exoplanet_Info,Exoplanets are usually discovered using the transit method or radial velocity method
exoplanets observed,Exoplanet_Info,Exoplanets are usually discovered using the transit method or radial velocity method
exoplanets fall upon,Exoplanet_Info,Exoplanets are usually discovered using the transit method or radial velocity method
exoplanets expose,Exoplanet_Info,Exoplanets are usually discovered using the transit method or radial velocity method
exoplanets name,Exoplanet_Info,Exoplanets are usually discovered using the transit method or radial velocity method
exoplanets get wind,Exoplanet_Info,Exoplanets are usually discovered using the transit method or radial velocity method
exoplanets chance on,Exoplanet_Info,Exoplanets are usually discovered using the transit method or radial velocity method
exoplanets come across,Exoplanet_Info,Exoplanets are usually discovered using the transit method or radial velocity method
exoplanets observe,Exoplanet_Info,Exoplanets are usually discovered using the transit method or radial velocity method
exoplanets key out,Exoplanet_Info,Exoplanets are usually discovered using the transit method or radial velocity method
exoplanets come upon,Exoplanet_Info,Exoplanets are usually discovered using the transit method or radial velocity method
exoplanets discover,Exoplanet_Info,Exoplanets are usually discovered using the transit method or radial velocity method
exoplanets key,Exoplanet_Info,Exoplanets are usually discovered using the transit method or radial velocity method
exoplanets give away,Exoplanet_Info,Exoplanets are usually discovered using the transit method or radial velocity method
exoplanets find out,Exoplanet_Info,Exoplanets are usually discovered using the transit method or radial velocity method
exoplanets chance upon,Exoplanet_Info,Exoplanets are usually discovered using the transit method or radial velocity method
exoplanets divulge,Exoplanet_Info,Exoplanets are usually discovered using the transit method or radial velocity method
exoplanets bring out,Exoplanet_Info,Exoplanets are usually discovered using the transit method or radial velocity method
exoplanets distinguish,Exoplanet_Info,Exoplanets are usually discovered using the transit method or radial velocity method
exoplanets disclose,Exoplanet_Info,Exoplanets are usually discovered using the transit method or radial velocity method
exoplanets reveal,Exoplanet_Info,Exoplanets are usually discovered using the transit method or radial velocity method
exoplanets strike,Exoplanet_Info,Exoplanets are usually discovered using the transit method or radial velocity method
exoplanets notice,Exoplanet_Info,Exoplanets are usually discovered using the transit method or radial velocity method
exoplanets see,Exoplanet_Info,Exoplanets are usually discovered using the transit method or radial velocity method
exoplanets pick up,Exoplanet_Info,Exoplanets are usually discovered using the transit method or radial velocity method
exoplanets happen upon,Exoplanet_Info,Exoplanets are usually discovered using the transit method or radial velocity method
exoplanets light upon,Exoplanet_Info,Exoplanets are usually discovered using the transit method or radial velocity method
exoplanets get a line,Exoplanet_Info,Exoplanets are usually discovered using the transit method or radial velocity method
exoplanets attain,Exoplanet_Info,Exoplanets are usually discovered using the transit method or radial velocity method
exoplanets break,Exoplanet_Info,Exoplanets are usually discovered using the transit method or radial velocity method
habitable zone exoplanet,Exoplanet_Info,The habitable zone is the region around a star where conditions might be right for liquid water to exist on a planet
inhabitable zone exoplanet,Exoplanet_Info,The habitable zone is the region around a star where conditions might be right for liquid water to exist on a planet
habitable partition exoplanet,Exoplanet_Info,The habitable zone is the region around a star where conditions might be right for liquid water to exist on a planet
habitable district exoplanet,Exoplanet_Info,The habitable zone is the region around a star where conditions might be right for liquid water to exist on a planet
habitable zona exoplanet,Exoplanet_Info,The habitable zone is the region around a star where conditions might be right for liquid water to exist on a planet
habitable geographical zone exoplanet,Exoplanet_Info,The habitable zone is the region around a star where conditions might be right for liquid water to exist on a planet
first exoplanet discovered,Exoplanet_Info,"The first confirmed exoplanet discovery was in 1992, orbiting a pulsar"
world-class exoplanet discovered,Exoplanet_Info,"The first confirmed exoplanet discovery was in 1992, orbiting a pulsar"
maiden exoplanet discovered,Exoplanet_Info,"The first confirmed exoplanet discovery was in 1992, orbiting a pulsar"
